joint_value_FR_Thigh,accel_x,accel_y,accel_z,foot_force,"Label (stand : 1, Sit : 0)"
-0.659334737,0.0849942,0.144849,9.61033,30,1
-0.661954775,0.0849942,0.144849,9.61033,30,1
-0.652363899,0.0849942,0.144849,9.61033,30,1
-0.666400427,0.132878,0.143652,9.67497,30,1
-0.663616318,0.132878,0.143652,9.67497,30,1
-0.667683147,0.185551,0.189142,9.65941,30,1
-0.697164912,0.185551,0.189142,9.65941,30,1
-0.684882596,0.185551,0.189142,9.65941,30,1
-0.654112079,0.23942,0.187945,9.65582,30,1
-0.658962091,0.23942,0.187945,9.65582,30,1
-0.699961409,0.275333,0.161609,9.61392,30,1
-0.665876502,0.275333,0.161609,9.61392,29,1
-0.69091957,0.275333,0.161609,9.61392,29,1
-0.665511615,0.328006,0.108936,9.57681,29,1
-0.687225684,0.328006,0.108936,9.57681,29,1
-0.686914334,0.383072,0.0957681,9.62469,29,1
-0.652654455,0.383072,0.0957681,9.62469,29,1
-0.680709722,0.383072,0.0957681,9.62469,29,1
-0.662822833,0.383072,0.0957681,9.62469,29,1
-0.667747631,0.395043,0.0586579,9.52892,29,1
-0.688110378,0.395043,0.0586579,9.52892,29,1
-0.665340499,0.341174,0.0263362,9.48822,29,1
-0.650690652,0.341174,0.0263362,9.48822,29,1
-0.695779487,0.318429,0.0634463,9.44632,29,1
-0.669369134,0.318429,0.0634463,9.44632,29,1
-0.665067949,0.36751,0.0107739,9.50857,29,1
-0.693732239,0.36751,0.0107739,9.50857,29,1
-0.652487128,0.36751,0.0107739,9.50857,29,1
-0.650798776,0.314838,-0.023942,9.46189,29,1
-0.669732195,0.314838,-0.023942,9.46189,29,1
-0.653096602,0.27653,-0.0035913,9.56005,29,1
-0.667657305,0.27653,-0.0035913,9.56005,29,1
-0.68848182,0.27653,-0.0035913,9.56005,29,1
-0.690490658,0.232238,-0.0215478,9.55167,29,1
-0.672689138,0.232238,-0.0215478,9.55167,29,1
-0.686604526,0.244209,0.0143652,9.55526,29,1
-0.698591423,0.244209,0.0143652,9.55526,29,1
-0.68062107,0.244209,0.0143652,9.55526,29,1
-0.658665228,0.250194,0.0526724,9.64983,29,1
-0.662662199,0.250194,0.0526724,9.64983,29,1
-0.663581996,0.233435,0.0610521,9.60314,29,1
-0.658847669,0.233435,0.0610521,9.60314,29,1
-0.659173523,0.233435,0.0610521,9.60314,29,1
-0.674459194,0.266953,0.0849942,9.59476,29,1
-0.664116898,0.266953,0.0849942,9.59476,29,1
-0.656093042,0.277727,0.0730232,9.64025,29,1
-0.681070127,0.277727,0.0730232,9.64025,29,1
-0.685853262,0.277727,0.0730232,9.64025,29,1
-0.688557767,0.306458,0.0933739,9.59716,29,1
-0.671968942,0.306458,0.0933739,9.59716,29,1
-0.65444178,0.307655,0.0287304,9.60554,29,1
-0.694739456,0.307655,0.0287304,9.60554,29,1
-0.658427178,0.307655,0.0287304,9.60554,29,1
-0.687382019,0.378284,0.0502782,9.61631,29,1
-0.67911686,0.378284,0.0502782,9.61631,29,1
-0.656415861,0.392649,0.0562637,9.63187,29,1
-0.699752511,0.392649,0.0562637,9.63187,29,1
-0.665650471,0.392649,0.0562637,9.63187,29,1
-0.671101188,0.429759,0.0191536,9.5792,29,1
-0.663543282,0.429759,0.0191536,9.5792,28,1
-0.688648835,0.417788,0.0203507,9.56484,28,1
-0.690690352,0.417788,0.0203507,9.56484,28,1
-0.690589753,0.417788,0.0203507,9.56484,28,1
-0.663380207,0.427365,-0.0466869,9.56603,28,1
-0.683475554,0.427365,-0.0466869,9.56603,28,1
-0.676621362,0.447716,-0.0849942,9.57202,28,1
-0.668913723,0.447716,-0.0849942,9.57202,28,1
-0.664993644,0.447716,-0.0849942,9.57202,28,1
-0.685364532,0.403423,-0.071826,9.51815,28,1
-0.680872726,0.403423,-0.071826,9.51815,28,1
-0.674671178,0.403423,-0.071826,9.51815,28,1
-0.682805909,0.392649,-0.0694318,9.60195,28,1
-0.66385395,0.392649,-0.0694318,9.60195,28,1
-0.692207968,0.320823,-0.0490811,9.55406,28,1
-0.676786257,0.320823,-0.0490811,9.55406,28,1
-0.689651603,0.320823,-0.0490811,9.55406,28,1
-0.656169157,0.314838,-0.0562637,9.55646,28,1
-0.657676016,0.314838,-0.0562637,9.55646,28,1
-0.688631409,0.320823,-0.0191536,9.59117,28,1
-0.687333483,0.320823,-0.0191536,9.59117,28,1
-0.676507942,0.320823,-0.0191536,9.59117,28,1
-0.672926124,0.295684,-0.0395043,9.65342,28,1
-0.689755775,0.295684,-0.0395043,9.65342,28,1
-0.675304294,0.295684,-0.0395043,9.65342,28,1
-0.66890931,0.304064,0.0191536,9.52174,29,1
-0.67845433,0.304064,0.0191536,9.52174,29,1
-0.65146121,0.286107,0.0454898,9.60075,29,1
-0.68183072,0.286107,0.0454898,9.60075,29,1
-0.678293901,0.312443,0.0514753,9.59117,29,1
-0.651204579,0.312443,0.0514753,9.59117,29,1
-0.656662588,0.312443,0.0514753,9.59117,29,1
-0.699080913,0.397437,0.0622492,9.6199,29,1
